Address,City,County,Id,License,State,Structure Type,Latitude,Longitude,Structure
MILE 118 GLENN HIGHWAY  (94041),Sutton,MATANUSKA-SUSITNA,20466,AT&T,AK,LTOWER,61.8325,-147.3275,36.6
"Sec 2, T17N, R2E Seward Meridian (110422)",Palmer,MATANUSKA-SUSITNA,24853,AT&T,AK,LTOWER,61.585527778,-149.028722222,45.7
2300 N. MEADOW LAKES DRIVE (94047),PALMER,MATANUSKA-SUSITNA,24845,AT&T,AK,LTOWER,61.605305556,-149.676388889,56.1
MILE 025 ENGSTROM ROAD (94017),PALMER,MATANUSKA-SUSITNA,24844,AT&T,AK,LTOWER,61.62,-149.256111111,61.3
M 92.5 SEWARD (94104),INDIAN,ANCHORAGE,24843,AT&T,AK,MTOWER,60.929166667,-149.352444444,25.9
6651 Highland Road (94146),Eagle River,ANCHORAGE,24841,AT&T,AK,LTOWER,61.281388889,-149.472805556,29.3
5861 KALGIN DRIVE   (112124),ANCHORAGE,ANCHORAGE,24840,AT&T,AK,MTOWER,61.101805556,-149.771611111,28.4
MILE 105 GLENN HIGHWAY  (94035),Sutton,MATANUSKA-SUSITNA,20465,AT&T,AK,LTOWER,61.788027778,-147.674333333,48.5
5 miles N Kenai Spur Road MP 24  (94018),KENAI,KENAI PENINSULA,20416,AT&T,AK,GTOWER,60.719694444,-151.366388889,25.9
11 MILES SW OF KASILOF AIR  (93990),Clam Gulch,KENAI PENINSULA,20415,AT&T,AK,LTOWER,60.214138889,-151.414416667,93
1362 Alaska Hwy,Dot Lake,SOUTHEAST FAIRBANKS,419,AT&T,AK,LTOWER,63.648638889,-144.065888889,90.8
"Mile 2.5, Pedro Dome Rd.",FAIRBANKS,FAIRBANKS NORTH STAR,418,AT&T,AK,LTOWER,65.03425,-147.502666667,31.1
SALONO AVENUE AND FIRST STREET (TOK JUNCTION)   (93976),TOK,SOUTHEAST FAIRBANKS,417,AT&T,AK,LTOWER,63.338055556,-142.984722222,60.4
MILEPOST 238 PARKS HWY   (93954),HEALY,DENALI,416,AT&T,AK,BTWR,63.742777778,-148.887722222,16.7
4468 N. Nistler Road,Delta Junction,SOUTHEAST FAIRBANKS,415,AT&T,AK,LTOWER,64.038833333,-145.598777778,56.7
MILE POST 1339.6 ALASKA HIGHWAY   (119031),TANACROSS,SOUTHEAST FAIRBANKS,414,AT&T,AK,LTOWER,63.384722222,-143.796111111,69.5
MILE 1 FERRY RD  (118753),HEALY,DENALI,413,AT&T,AK,LTOWER,64.010833333,-149.122,58.5
MILE MARKER 229.5 PARKS HIGHWAY   (93966),DENALI NATIONAL PARK,DENALI,412,AT&T,AK,GTOWER,63.643166667,-148.785638889,31.4
1474 STIREWALT ST,DELTA JUNCTION,SOUTHEAST FAIRBANKS,411,AT&T,AK,LTOWER,64.037444444,-145.729638889,96
MILE MARKER 301 RICHARDSON HIGHWAY,SALCHA,FAIRBANKS NORTH STAR,410,AT&T,AK,LTOWER,64.302888889,-146.550944444,55.2
17 mile Chena Hot Springs Road,Fairbanks,FAIRBANKS NORTH STAR,409,AT&T,AK,LTOWER,64.87075,-147.099944444,41.2
Nenana Cell Site,Nenana,YUKON-KOYUKUK,408,AT&T,AK,LTOWER,64.577277778,-149.080611111,42.7
MP 202.2 Richardson HWY,DELTA JUNCTION,SOUTHEAST FAIRBANKS,407,AT&T,AK,LTOWER,63.238194444,-145.648527778,47.2
.8 KM NE OF   (93948),CANTWELL,DENALI,406,AT&T,AK,GTOWER,63.400555556,-148.94,21.6
MP 249 Richardson Hwy,DELTA JUNCTION,SOUTHEAST FAIRBANKS,405,AT&T,AK,LTOWER,63.78725,-145.863277778,71.9
NSN Orchid Drive,SALCHA,FAIRBANKS NORTH STAR,404,AT&T,AK,LTOWER,64.409527778,-146.955861111,83.5
MP246 Parks Hwy   (93962),Healy,DENALI,403,AT&T,AK,GTOWER,63.837222222,-148.980277778,61.9
MP275 PARKS HWY   (115228),Healy,DENALI,402,AT&T,AK,LTOWER,64.212694444,-149.311416667,58.5
4012 Ester Dome Rd.   (93958),FAIRBANKS,FAIRBANKS NORTH STAR,401,AT&T,AK,LTOWER,64.879138889,-148.055055556,22.9
1362 Alaska Hwy,Dot Lake,SOUTHEAST FAIRBANKS,400,AT&T,AK,LTOWER,63.648638889,-144.065888889,90.8
"Mile 2.5, Pedro Dome Rd.",FAIRBANKS,FAIRBANKS NORTH STAR,399,AT&T,AK,LTOWER,65.03425,-147.502666667,31.1
SALONO AVENUE AND FIRST STREET (TOK JUNCTION)   (93976),TOK,SOUTHEAST FAIRBANKS,398,AT&T,AK,LTOWER,63.338055556,-142.984722222,60.4
MILEPOST 238 PARKS HWY   (93954),HEALY,DENALI,397,AT&T,AK,BTWR,63.742777778,-148.887722222,16.7
4468 N. Nistler Road,Delta Junction,SOUTHEAST FAIRBANKS,396,AT&T,AK,LTOWER,64.038833333,-145.598777778,56.7
MILE POST 1339.6 ALASKA HIGHWAY   (119031),TANACROSS,SOUTHEAST FAIRBANKS,395,AT&T,AK,LTOWER,63.384722222,-143.796111111,69.5
MILE 1 FERRY RD  (118753),HEALY,DENALI,394,AT&T,AK,LTOWER,64.010833333,-149.122,58.5
MILE MARKER 229.5 PARKS HIGHWAY   (93966),DENALI NATIONAL PARK,DENALI,393,AT&T,AK,GTOWER,63.643166667,-148.785638889,31.4
